Русский;Немецкий
Я не могу ждать тебя.;Ich kann nicht auf dich warten.
Мы думаем о новом проекте.;Wir denken an ein neues Projekt.
Она попросила коллегу о помощи.;Sie hat den Kollegen um Hilfe gebeten.
Ты интересуешься немецким языком?;Interessierst du dich für Deutsch?
Мы очень рады этой встрече.;Wir freuen uns sehr über dieses Treffen.
Я ищу новую работу.;Ich suche nach einer neuen Arbeit.
Он отвечает на каждое письмо.;Er antwortet auf jeden Brief.
Мы говорим о нашей поездке.;Wir sprechen über unsere Reise.
Ты должен участвовать во встрече.;Du musst an dem Treffen teilnehmen.
Она начала работать вчера.;Sie hat gestern mit der Arbeit angefangen.
Я вспоминаю школьное время.;Ich erinnere mich an meine Schulzeit.
Почему ты думаешь об этом?;Warum denkst du daran?
Мы ждем автобус уже двадцать минут.;Wir warten seit zwanzig Minuten auf den Bus.
Он интересуется историей Германии.;Er interessiert sich für die Geschichte Deutschlands.
Я не могу ответить на этот вопрос.;Ich kann diese Frage nicht beantworten.
Она часто говорит о своей семье.;Sie spricht oft über ihre Familie.
Мы ищем новую квартиру.;Wir suchen nach einer neuen Wohnung.
Ты уже попросил его о помощи?;Hast du ihn schon um Hilfe gebeten?
Они участвуют в новом проекте.;Sie nehmen an einem neuen Projekt teil.
Я хочу начать с самого простого.;Ich möchte mit dem Einfachsten anfangen.
Мы думаем о поездке в Германию.;Wir denken an eine Reise nach Deutschland.
Она рада хорошим новостям.;Sie freut sich über die guten Nachrichten.
Я ищу ответ на этот вопрос.;Ich suche eine Antwort auf diese Frage.
Он не может ждать так долго.;Er kann nicht so lange warten.
Почему вы говорите об этом сейчас?;Warum sprechen Sie jetzt darüber?
Мы начали с самого важного.;Wir haben mit dem Wichtigsten angefangen.
Ты вспоминаешь свое детство?;Erinnerst du dich an deine Kindheit?
Я должен ответить на письмо сегодня.;Ich muss heute auf den Brief antworten.
Она ищет ключи уже час.;Sie sucht seit einer Stunde nach ihren Schlüsseln.
Мы интересуемся современной литературой.;Wir interessieren uns für moderne Literatur.
Он попросил меня подождать.;Er hat mich gebeten zu warten.
Я рад, что ты пришел.;Ich freue mich, dass du gekommen bist.
Мы думаем, что это хорошая идея.;Wir denken, dass das eine gute Idee ist.
Если у меня будет время, я помогу тебе.;Wenn ich Zeit habe, helfe ich dir.
Потому что шел дождь, мы остались дома.;Weil es geregnet hat, sind wir zu Hause geblieben.
Я хотел бы поехать в Германию.;Ich würde gern nach Deutschland fahren.
Она не знает, где он живет.;Sie weiß nicht, wo er wohnt.
Мы останемся дома, если будет холодно.;Wir bleiben zu Hause, wenn es kalt ist.
Я думаю, что ты прав.;Ich glaube, dass du recht hast.
Он сказал, что придет позже.;Er hat gesagt, dass er später kommt.
Ты можешь объяснить это еще раз?;Kannst du das noch einmal erklären?
Я не понимаю этот текст.;Ich verstehe diesen Text nicht.
Мы нашли хороший ресторан.;Wir haben ein gutes Restaurant gefunden.
Она забыла мой номер телефона.;Sie hat meine Telefonnummer vergessen.
Я знаю этого человека.;Ich kenne diesen Menschen.
Я знаю ответ.;Ich weiß die Antwort.
Он помогает своей сестре.;Er hilft seiner Schwester.
Мы встретили старого друга.;Wir haben einen alten Freund getroffen.
Она остается сегодня дома.;Sie bleibt heute zu Hause.
Что здесь произошло?;Was ist hier passiert?
Я не могу найти свои ключи.;Ich kann meine Schlüssel nicht finden.
Ты уже нашел новую работу?;Hast du schon eine neue Arbeit gefunden?
Мы забыли купить молоко.;Wir haben vergessen, Milch zu kaufen.
Она всегда забывает свое имя пользователя.;Sie vergisst immer ihren Benutzernamen.
Я знаю этого врача уже много лет.;Ich kenne diesen Arzt schon seit vielen Jahren.
